编号,全拼_raw,全拼_hex,简拼_raw,简拼_hex,干音_raw,干音_hex,映射编号
1,􀀀􀀠􀀠􀀠,U+100000 U+100020 U+100020 U+100020,􀀀􀀠,U+100000 U+100020,􀀀,U+100000,116
2,􀀀􀀠􀀡􀀢,U+100000 U+100020 U+100021 U+100022,􀀀􀀠􀀡􀀢,U+100000 U+100020 U+100021 U+100022,􀀀,U+100000,122
3,􀀀􀀠􀀩􀀣,U+100000 U+100020 U+100029 U+100023,􀀀􀀠􀀩􀀣,U+100000 U+100020 U+100029 U+100023,􀀀,U+100000,138
4,􀀀􀀠􀀩􀀻,U+100000 U+100020 U+100029 U+10003B,􀀀􀀠􀀩􀀻,U+100000 U+100020 U+100029 U+10003B,􀀀,U+100000,124
5,􀀀􀀠􀀪􀀥,U+100000 U+100020 U+10002A U+100025,􀀀􀀠􀀪􀀥,U+100000 U+100020 U+10002A U+100025,􀀀,U+100000,144
6,􀀀􀀠􀀪􀀽,U+100000 U+100020 U+10002A U+10003D,􀀀􀀠􀀪􀀽,U+100000 U+100020 U+10002A U+10003D,􀀀,U+100000,130
7,􀀀􀀠􀀪􀁀,U+100000 U+100020 U+10002A U+100040,􀀀􀀠􀀪􀁀,U+100000 U+100020 U+10002A U+100040,􀀀,U+100000,136
8,􀀀􀀠􀀬􀀾,U+100000 U+100020 U+10002C U+10003E,􀀀􀀠􀀬􀀾,U+100000 U+100020 U+10002C U+10003E,􀀀,U+100000,164
9,􀀀􀀠􀀭􀁀,U+100000 U+100020 U+10002D U+100040,􀀀􀀠􀀭􀁀,U+100000 U+100020 U+10002D U+100040,􀀀,U+100000,168
10,􀀀􀀠􀀯􀀯,U+100000 U+100020 U+10002F U+10002F,􀀀􀀠􀀯,U+100000 U+100020 U+10002F,􀀀,U+100000,146
11,􀀀􀀠􀀯􀀻,U+100000 U+100020 U+10002F U+10003B,􀀀􀀠􀀯􀀻,U+100000 U+100020 U+10002F U+10003B,􀀀,U+100000,156
12,􀀀􀀠􀀰􀀱,U+100000 U+100020 U+100030 U+100031,􀀀􀀠􀀰􀀱,U+100000 U+100020 U+100030 U+100031,􀀀,U+100000,152
13,􀀀􀀠􀀰􀀽,U+100000 U+100020 U+100030 U+10003D,􀀀􀀠􀀰􀀽,U+100000 U+100020 U+100030 U+10003D,􀀀,U+100000,160
14,􀀀􀀡􀀪􀀼,U+100000 U+100021 U+10002A U+10003C,􀀀􀀡􀀪􀀼,U+100000 U+100021 U+10002A U+10003C,􀀀,U+100000,132
15,􀀀􀀡􀀭􀀿,U+100000 U+100021 U+10002D U+10003F,􀀀􀀡􀀭􀀿,U+100000 U+100021 U+10002D U+10003F,􀀀,U+100000,170
16,􀀀􀀡􀀰􀀰,U+100000 U+100021 U+100030 U+100030,􀀀􀀡􀀰,U+100000 U+100021 U+100030,􀀀,U+100000,154
17,􀀀􀀡􀀰􀀼,U+100000 U+100021 U+100030 U+10003C,􀀀􀀡􀀰􀀼,U+100000 U+100021 U+100030 U+10003C,􀀀,U+100000,162
18,􀀀􀀢􀀡􀀠,U+100000 U+100022 U+100021 U+100020,􀀀􀀢􀀡􀀠,U+100000 U+100022 U+100021 U+100020,􀀀,U+100000,118
19,􀀀􀀢􀀢􀀢,U+100000 U+100022 U+100022 U+100022,􀀀􀀢,U+100000 U+100022,􀀀,U+100000,120
20,􀀀􀀢􀀪􀀣,U+100000 U+100022 U+10002A U+100023,􀀀􀀢􀀪􀀣,U+100000 U+100022 U+10002A U+100023,􀀀,U+100000,140
21,􀀀􀀢􀀪􀀻,U+100000 U+100022 U+10002A U+10003B,􀀀􀀢􀀪􀀻,U+100000 U+100022 U+10002A U+10003B,􀀀,U+100000,126
22,􀀀􀀢􀀪􀀾,U+100000 U+100022 U+10002A U+10003E,􀀀􀀢􀀪􀀾,U+100000 U+100022 U+10002A U+10003E,􀀀,U+100000,134
23,􀀀􀀢􀀫􀀥,U+100000 U+100022 U+10002B U+100025,􀀀􀀢􀀫􀀥,U+100000 U+100022 U+10002B U+100025,􀀀,U+100000,142
24,􀀀􀀢􀀫􀀽,U+100000 U+100022 U+10002B U+10003D,􀀀􀀢􀀫􀀽,U+100000 U+100022 U+10002B U+10003D,􀀀,U+100000,128
25,􀀀􀀢􀀮􀁀,U+100000 U+100022 U+10002E U+100040,􀀀􀀢􀀮􀁀,U+100000 U+100022 U+10002E U+100040,􀀀,U+100000,166
26,􀀀􀀢􀀰􀀯,U+100000 U+100022 U+100030 U+10002F,􀀀􀀢􀀰􀀯,U+100000 U+100022 U+100030 U+10002F,􀀀,U+100000,148
27,􀀀􀀢􀀱􀀱,U+100000 U+100022 U+100031 U+100031,􀀀􀀢􀀱,U+100000 U+100022 U+100031,􀀀,U+100000,150
28,􀀀􀀢􀀱􀀽,U+100000 U+100022 U+100031 U+10003D,􀀀􀀢􀀱􀀽,U+100000 U+100022 U+100031 U+10003D,􀀀,U+100000,158
29,􀀀􀀣􀀣􀀣,U+100000 U+100023 U+100023 U+100023,􀀀􀀣,U+100000 U+100023,􀀀,U+100000,184
30,􀀀􀀣􀀤􀀥,U+100000 U+100023 U+100024 U+100025,􀀀􀀣􀀤􀀥,U+100000 U+100023 U+100024 U+100025,􀀀,U+100000,190
31,􀀀􀀣􀀭􀁀,U+100000 U+100023 U+10002D U+100040,􀀀􀀣􀀭􀁀,U+100000 U+100023 U+10002D U+100040,􀀀,U+100000,182
32,􀀀􀀤􀀤􀀤,U+100000 U+100024 U+100024 U+100024,􀀀􀀤,U+100000 U+100024,􀀀,U+100000,192
33,􀀀􀀥􀀤􀀣,U+100000 U+100025 U+100024 U+100023,􀀀􀀥􀀤􀀣,U+100000 U+100025 U+100024 U+100023,􀀀,U+100000,186
34,􀀀􀀥􀀥􀀥,U+100000 U+100025 U+100025 U+100025,􀀀􀀥,U+100000 U+100025,􀀀,U+100000,188
35,􀀀􀀩􀀩􀀠,U+100000 U+100029 U+100029 U+100020,􀀀􀀩􀀠,U+100000 U+100029 U+100020,􀀀,U+100000,54
36,􀀀􀀩􀀩􀀣,U+100000 U+100029 U+100029 U+100023,􀀀􀀩􀀣,U+100000 U+100029 U+100023,􀀀,U+100000,80
37,􀀀􀀩􀀩􀀩,U+100000 U+100029 U+100029 U+100029,􀀀􀀩,U+100000 U+100029,􀀀,U+100000,44
38,􀀀􀀩􀀩􀀻,U+100000 U+100029 U+100029 U+10003B,􀀀􀀩􀀻,U+100000 U+100029 U+10003B,􀀀,U+100000,64
39,􀀀􀀩􀀩􀀾,U+100000 U+100029 U+100029 U+10003E,􀀀􀀩􀀾,U+100000 U+100029 U+10003E,􀀀,U+100000,72
40,􀀀􀀩􀀪􀀢,U+100000 U+100029 U+10002A U+100022,􀀀􀀩􀀪􀀢,U+100000 U+100029 U+10002A U+100022,􀀀,U+100000,60
41,􀀀􀀩􀀪􀀥,U+100000 U+100029 U+10002A U+100025,􀀀􀀩􀀪􀀥,U+100000 U+100029 U+10002A U+100025,􀀀,U+100000,86
42,􀀀􀀩􀀪􀀫,U+100000 U+100029 U+10002A U+10002B,􀀀􀀩􀀪􀀫,U+100000 U+100029 U+10002A U+10002B,􀀀,U+100000,50
43,􀀀􀀩􀀪􀀽,U+100000 U+100029 U+10002A U+10003D,􀀀􀀩􀀪􀀽,U+100000 U+100029 U+10002A U+10003D,􀀀,U+100000,68
44,􀀀􀀩􀀪􀁀,U+100000 U+100029 U+10002A U+100040,􀀀􀀩􀀪􀁀,U+100000 U+100029 U+10002A U+100040,􀀀,U+100000,76
45,􀀀􀀪􀀪􀀡,U+100000 U+10002A U+10002A U+100021,􀀀􀀪􀀡,U+100000 U+10002A U+100021,􀀀,U+100000,62
46,􀀀􀀪􀀪􀀤,U+100000 U+10002A U+10002A U+100024,􀀀􀀪􀀤,U+100000 U+10002A U+100024,􀀀,U+100000,88
47,􀀀􀀪􀀪􀀪,U+100000 U+10002A U+10002A U+10002A,􀀀􀀪,U+100000 U+10002A,􀀀,U+100000,52
48,􀀀􀀪􀀪􀀼,U+100000 U+10002A U+10002A U+10003C,􀀀􀀪􀀼,U+100000 U+10002A U+10003C,􀀀,U+100000,70
49,􀀀􀀪􀀪􀀿,U+100000 U+10002A U+10002A U+10003F,􀀀􀀪􀀿,U+100000 U+10002A U+10003F,􀀀,U+100000,78
50,􀀀􀀫􀀪􀀠,U+100000 U+10002B U+10002A U+100020,􀀀􀀫􀀪􀀠,U+100000 U+10002B U+10002A U+100020,􀀀,U+100000,56
51,􀀀􀀫􀀪􀀣,U+100000 U+10002B U+10002A U+100023,􀀀􀀫􀀪􀀣,U+100000 U+10002B U+10002A U+100023,􀀀,U+100000,82
52,􀀀􀀫􀀪􀀩,U+100000 U+10002B U+10002A U+100029,􀀀􀀫􀀪􀀩,U+100000 U+10002B U+10002A U+100029,􀀀,U+100000,46
53,􀀀􀀫􀀫􀀢,U+100000 U+10002B U+10002B U+100022,􀀀􀀫􀀢,U+100000 U+10002B U+100022,􀀀,U+100000,58
54,􀀀􀀫􀀫􀀥,U+100000 U+10002B U+10002B U+100025,􀀀􀀫􀀥,U+100000 U+10002B U+100025,􀀀,U+100000,84
55,􀀀􀀫􀀫􀀫,U+100000 U+10002B U+10002B U+10002B,􀀀􀀫,U+100000 U+10002B,􀀀,U+100000,48
56,􀀀􀀫􀀫􀀽,U+100000 U+10002B U+10002B U+10003D,􀀀􀀫􀀽,U+100000 U+10002B U+10003D,􀀀,U+100000,66
57,􀀀􀀫􀀫􀁀,U+100000 U+10002B U+10002B U+100040,􀀀􀀫􀁀,U+100000 U+10002B U+100040,􀀀,U+100000,74
58,􀀀􀀬􀀬􀀬,U+100000 U+10002C U+10002C U+10002C,􀀀􀀬,U+100000 U+10002C,􀀀,U+100000,172
59,􀀀􀀬􀀬􀀾,U+100000 U+10002C U+10002C U+10003E,􀀀􀀬􀀾,U+100000 U+10002C U+10003E,􀀀,U+100000,106
60,􀀀􀀬􀀭􀀮,U+100000 U+10002C U+10002D U+10002E,􀀀􀀬􀀭􀀮,U+100000 U+10002C U+10002D U+10002E,􀀀,U+100000,178
61,􀀀􀀬􀀭􀁀,U+100000 U+10002C U+10002D U+100040,􀀀􀀬􀀭􀁀,U+100000 U+10002C U+10002D U+100040,􀀀,U+100000,112
62,􀀀􀀭􀀭􀀭,U+100000 U+10002D U+10002D U+10002D,􀀀􀀭,U+100000 U+10002D,􀀀,U+100000,180
63,􀀀􀀭􀀭􀀿,U+100000 U+10002D U+10002D U+10003F,􀀀􀀭􀀿,U+100000 U+10002D U+10003F,􀀀,U+100000,114
64,􀀀􀀮􀀭􀀬,U+100000 U+10002E U+10002D U+10002C,􀀀􀀮􀀭􀀬,U+100000 U+10002E U+10002D U+10002C,􀀀,U+100000,174
65,􀀀􀀮􀀭􀀾,U+100000 U+10002E U+10002D U+10003E,􀀀􀀮􀀭􀀾,U+100000 U+10002E U+10002D U+10003E,􀀀,U+100000,108
66,􀀀􀀮􀀮􀀮,U+100000 U+10002E U+10002E U+10002E,􀀀􀀮,U+100000 U+10002E,􀀀,U+100000,176
67,􀀀􀀮􀀮􀁀,U+100000 U+10002E U+10002E U+100040,􀀀􀀮􀁀,U+100000 U+10002E U+100040,􀀀,U+100000,110
68,􀀀􀀯􀀯􀀠,U+100000 U+10002F U+10002F U+100020,􀀀􀀯􀀠,U+100000 U+10002F U+100020,􀀀,U+100000,90
69,􀀀􀀯􀀯􀀻,U+100000 U+10002F U+10002F U+10003B,􀀀􀀯􀀻,U+100000 U+10002F U+10003B,􀀀,U+100000,98
70,􀀀􀀯􀀰􀀢,U+100000 U+10002F U+100030 U+100022,􀀀􀀯􀀰􀀢,U+100000 U+10002F U+100030 U+100022,􀀀,U+100000,94
71,􀀀􀀯􀀰􀀽,U+100000 U+10002F U+100030 U+10003D,􀀀􀀯􀀰􀀽,U+100000 U+10002F U+100030 U+10003D,􀀀,U+100000,102
72,􀀀􀀰􀀰􀀡,U+100000 U+100030 U+100030 U+100021,􀀀􀀰􀀡,U+100000 U+100030 U+100021,􀀀,U+100000,96
73,􀀀􀀰􀀰􀀼,U+100000 U+100030 U+100030 U+10003C,􀀀􀀰􀀼,U+100000 U+100030 U+10003C,􀀀,U+100000,104
74,􀀀􀀱􀀱􀀢,U+100000 U+100031 U+100031 U+100022,􀀀􀀱􀀢,U+100000 U+100031 U+100022,􀀀,U+100000,92
75,􀀀􀀱􀀱􀀽,U+100000 U+100031 U+100031 U+10003D,􀀀􀀱􀀽,U+100000 U+100031 U+10003D,􀀀,U+100000,100
76,􀀁􀀠􀀠􀀠,U+100001 U+100020 U+100020 U+100020,􀀁􀀠,U+100001 U+100020,􀀁,U+100001,2126
77,􀀁􀀠􀀡􀀢,U+100001 U+100020 U+100021 U+100022,􀀁􀀠􀀡􀀢,U+100001 U+100020 U+100021 U+100022,􀀁,U+100001,2132
78,􀀁􀀠􀀩􀀣,U+100001 U+100020 U+100029 U+100023,􀀁􀀠􀀩􀀣,U+100001 U+100020 U+100029 U+100023,􀀁,U+100001,2146
79,􀀁􀀠􀀩􀀩,U+100001 U+100020 U+100029 U+100029,􀀁􀀠􀀩,U+100001 U+100020 U+100029,􀀁,U+100001,2136
80,􀀁􀀠􀀩􀀻,U+100001 U+100020 U+100029 U+10003B,􀀁􀀠􀀩􀀻,U+100001 U+100020 U+100029 U+10003B,􀀁,U+100001,2138
81,􀀁􀀠􀀪􀀥,U+100001 U+100020 U+10002A U+100025,􀀁􀀠􀀪􀀥,U+100001 U+100020 U+10002A U+100025,􀀁,U+100001,2152
82,􀀁􀀠􀀪􀀽,U+100001 U+100020 U+10002A U+10003D,􀀁􀀠􀀪􀀽,U+100001 U+100020 U+10002A U+10003D,􀀁,U+100001,2144
83,􀀁􀀠􀀬􀀾,U+100001 U+100020 U+10002C U+10003E,􀀁􀀠􀀬􀀾,U+100001 U+100020 U+10002C U+10003E,􀀁,U+100001,2168
84,􀀁􀀠􀀭􀁀,U+100001 U+100020 U+10002D U+100040,􀀁􀀠􀀭􀁀,U+100001 U+100020 U+10002D U+100040,􀀁,U+100001,2174
85,􀀁􀀠􀀯􀀯,U+100001 U+100020 U+10002F U+10002F,􀀁􀀠􀀯,U+100001 U+100020 U+10002F,􀀁,U+100001,2154
86,􀀁􀀠􀀯􀀻,U+100001 U+100020 U+10002F U+10003B,􀀁􀀠􀀯􀀻,U+100001 U+100020 U+10002F U+10003B,􀀁,U+100001,2160
87,􀀁􀀠􀀰􀀱,U+100001 U+100020 U+100030 U+100031,􀀁􀀠􀀰􀀱,U+100001 U+100020 U+100030 U+100031,􀀁,U+100001,2158
88,􀀁􀀠􀀰􀀽,U+100001 U+100020 U+100030 U+10003D,􀀁􀀠􀀰􀀽,U+100001 U+100020 U+100030 U+10003D,􀀁,U+100001,2166
89,􀀁􀀡􀀡􀀡,U+100001 U+100021 U+100021 U+100021,􀀁􀀡,U+100001 U+100021,􀀁,U+100001,2134
90,􀀁􀀢􀀡􀀠,U+100001 U+100022 U+100021 U+100020,􀀁􀀢􀀡􀀠,U+100001 U+100022 U+100021 U+100020,􀀁,U+100001,2128
91,􀀁􀀢􀀢􀀢,U+100001 U+100022 U+100022 U+100022,􀀁􀀢,U+100001 U+100022,􀀁,U+100001,2130
92,􀀁􀀢􀀪􀀣,U+100001 U+100022 U+10002A U+100023,􀀁􀀢􀀪􀀣,U+100001 U+100022 U+10002A U+100023,􀀁,U+100001,2148
93,􀀁􀀢􀀪􀀻,U+100001 U+100022 U+10002A U+10003B,􀀁􀀢􀀪􀀻,U+100001 U+100022 U+10002A U+10003B,􀀁,U+100001,2140
94,􀀁􀀢􀀫􀀥,U+100001 U+100022 U+10002B U+100025,􀀁􀀢􀀫􀀥,U+100001 U+100022 U+10002B U+100025,􀀁,U+100001,2150
95,􀀁􀀢􀀫􀀽,U+100001 U+100022 U+10002B U+10003D,􀀁􀀢􀀫􀀽,U+100001 U+100022 U+10002B U+10003D,􀀁,U+100001,2142
96,􀀁􀀢􀀭􀀾,U+100001 U+100022 U+10002D U+10003E,􀀁􀀢􀀭􀀾,U+100001 U+100022 U+10002D U+10003E,􀀁,U+100001,2170
97,􀀁􀀢􀀮􀁀,U+100001 U+100022 U+10002E U+100040,􀀁􀀢􀀮􀁀,U+100001 U+100022 U+10002E U+100040,􀀁,U+100001,2172
98,􀀁􀀢􀀰􀀻,U+100001 U+100022 U+100030 U+10003B,􀀁􀀢􀀰􀀻,U+100001 U+100022 U+100030 U+10003B,􀀁,U+100001,2162
99,􀀁􀀢􀀱􀀱,U+100001 U+100022 U+100031 U+100031,􀀁􀀢􀀱,U+100001 U+100022 U+100031,􀀁,U+100001,2156
100,􀀁􀀢􀀱􀀽,U+100001 U+100022 U+100031 U+10003D,􀀁􀀢􀀱􀀽,U+100001 U+100022 U+100031 U+10003D,􀀁,U+100001,2164
101,􀀁􀀣􀀣􀀣,U+100001 U+100023 U+100023 U+100023,􀀁􀀣,U+100001 U+100023,􀀁,U+100001,2194
102,􀀁􀀣􀀤􀀥,U+100001 U+100023 U+100024 U+100025,􀀁􀀣􀀤􀀥,U+100001 U+100023 U+100024 U+100025,􀀁,U+100001,2200
103,􀀁􀀤􀀤􀀤,U+100001 U+100024 U+100024 U+100024,􀀁􀀤,U+100001 U+100024,􀀁,U+100001,2202
104,􀀁􀀥􀀤􀀣,U+100001 U+100025 U+100024 U+100023,􀀁􀀥􀀤􀀣,U+100001 U+100025 U+100024 U+100023,􀀁,U+100001,2196
105,􀀁􀀥􀀥􀀥,U+100001 U+100025 U+100025 U+100025,􀀁􀀥,U+100001 U+100025,􀀁,U+100001,2198
106,􀀁􀀩􀀩􀀠,U+100001 U+100029 U+100029 U+100020,􀀁􀀩􀀠,U+100001 U+100029 U+100020,􀀁,U+100001,2062
107,􀀁􀀩􀀩􀀣,U+100001 U+100029 U+100029 U+100023,􀀁􀀩􀀣,U+100001 U+100029 U+100023,􀀁,U+100001,2090
108,􀀁􀀩􀀩􀀩,U+100001 U+100029 U+100029 U+100029,􀀁􀀩,U+100001 U+100029,􀀁,U+100001,2052
109,􀀁􀀩􀀩􀀻,U+100001 U+100029 U+100029 U+10003B,􀀁􀀩􀀻,U+100001 U+100029 U+10003B,􀀁,U+100001,2072
110,􀀁􀀩􀀩􀀾,U+100001 U+100029 U+100029 U+10003E,􀀁􀀩􀀾,U+100001 U+100029 U+10003E,􀀁,U+100001,2082
111,􀀁􀀩􀀪􀀢,U+100001 U+100029 U+10002A U+100022,􀀁􀀩􀀪􀀢,U+100001 U+100029 U+10002A U+100022,􀀁,U+100001,2068
112,􀀁􀀩􀀪􀀥,U+100001 U+100029 U+10002A U+100025,􀀁􀀩􀀪􀀥,U+100001 U+100029 U+10002A U+100025,􀀁,U+100001,2096
113,􀀁􀀩􀀪􀀫,U+100001 U+100029 U+10002A U+10002B,􀀁􀀩􀀪􀀫,U+100001 U+100029 U+10002A U+10002B,􀀁,U+100001,2058
114,􀀁􀀩􀀪􀀽,U+100001 U+100029 U+10002A U+10003D,􀀁􀀩􀀪􀀽,U+100001 U+100029 U+10002A U+10003D,􀀁,U+100001,2078
115,􀀁􀀩􀀪􀁀,U+100001 U+100029 U+10002A U+100040,􀀁􀀩􀀪􀁀,U+100001 U+100029 U+10002A U+100040,􀀁,U+100001,2088
116,􀀁􀀪􀀪􀀡,U+100001 U+10002A U+10002A U+100021,􀀁􀀪􀀡,U+100001 U+10002A U+100021,􀀁,U+100001,2070
117,􀀁􀀪􀀪􀀪,U+100001 U+10002A U+10002A U+10002A,􀀁􀀪,U+100001 U+10002A,􀀁,U+100001,2060
118,􀀁􀀪􀀪􀀼,U+100001 U+10002A U+10002A U+10003C,􀀁􀀪􀀼,U+100001 U+10002A U+10003C,􀀁,U+100001,2080
119,􀀁􀀫􀀪􀀠,U+100001 U+10002B U+10002A U+100020,􀀁􀀫􀀪􀀠,U+100001 U+10002B U+10002A U+100020,􀀁,U+100001,2064
120,􀀁􀀫􀀪􀀣,U+100001 U+10002B U+10002A U+100023,􀀁􀀫􀀪􀀣,U+100001 U+10002B U+10002A U+100023,􀀁,U+100001,2092
121,􀀁􀀫􀀪􀀩,U+100001 U+10002B U+10002A U+100029,􀀁􀀫􀀪􀀩,U+100001 U+10002B U+10002A U+100029,􀀁,U+100001,2054
122,􀀁􀀫􀀪􀀻,U+100001 U+10002B U+10002A U+10003B,􀀁􀀫􀀪􀀻,U+100001 U+10002B U+10002A U+10003B,􀀁,U+100001,2074
123,􀀁􀀫􀀪􀀾,U+100001 U+10002B U+10002A U+10003E,􀀁􀀫􀀪􀀾,U+100001 U+10002B U+10002A U+10003E,􀀁,U+100001,2084
124,􀀁􀀫􀀫􀀢,U+100001 U+10002B U+10002B U+100022,􀀁􀀫􀀢,U+100001 U+10002B U+100022,􀀁,U+100001,2066
125,􀀁􀀫􀀫􀀥,U+100001 U+10002B U+10002B U+100025,􀀁􀀫􀀥,U+100001 U+10002B U+100025,􀀁,U+100001,2094
126,􀀁􀀫􀀫􀀫,U+100001 U+10002B U+10002B U+10002B,􀀁􀀫,U+100001 U+10002B,􀀁,U+100001,2056
127,􀀁􀀫􀀫􀀽,U+100001 U+10002B U+10002B U+10003D,􀀁􀀫􀀽,U+100001 U+10002B U+10003D,􀀁,U+100001,2076
128,􀀁􀀫􀀫􀁀,U+100001 U+10002B U+10002B U+100040,􀀁􀀫􀁀,U+100001 U+10002B U+100040,􀀁,U+100001,2086
129,􀀁􀀬􀀬􀀣,U+100001 U+10002C U+10002C U+100023,􀀁􀀬􀀣,U+100001 U+10002C U+100023,􀀁,U+100001,2186
130,􀀁􀀬􀀬􀀬,U+100001 U+10002C U+10002C U+10002C,􀀁􀀬,U+100001 U+10002C,􀀁,U+100001,2176
131,􀀁􀀬􀀬􀀾,U+100001 U+10002C U+10002C U+10003E,􀀁􀀬􀀾,U+100001 U+10002C U+10003E,􀀁,U+100001,2116
132,􀀁􀀬􀀭􀀥,U+100001 U+10002C U+10002D U+100025,􀀁􀀬􀀭􀀥,U+100001 U+10002C U+10002D U+100025,􀀁,U+100001,2192
133,􀀁􀀬􀀭􀀮,U+100001 U+10002C U+10002D U+10002E,􀀁􀀬􀀭􀀮,U+100001 U+10002C U+10002D U+10002E,􀀁,U+100001,2182
134,􀀁􀀬􀀭􀁀,U+100001 U+10002C U+10002D U+100040,􀀁􀀬􀀭􀁀,U+100001 U+10002C U+10002D U+100040,􀀁,U+100001,2122
135,􀀁􀀭􀀭􀀭,U+100001 U+10002D U+10002D U+10002D,􀀁􀀭,U+100001 U+10002D,􀀁,U+100001,2184
136,􀀁􀀭􀀭􀀿,U+100001 U+10002D U+10002D U+10003F,􀀁􀀭􀀿,U+100001 U+10002D U+10003F,􀀁,U+100001,2124
137,􀀁􀀮􀀭􀀣,U+100001 U+10002E U+10002D U+100023,􀀁􀀮􀀭􀀣,U+100001 U+10002E U+10002D U+100023,􀀁,U+100001,2188
138,􀀁􀀮􀀭􀀬,U+100001 U+10002E U+10002D U+10002C,􀀁􀀮􀀭􀀬,U+100001 U+10002E U+10002D U+10002C,􀀁,U+100001,2178
139,􀀁􀀮􀀭􀀾,U+100001 U+10002E U+10002D U+10003E,􀀁􀀮􀀭􀀾,U+100001 U+10002E U+10002D U+10003E,􀀁,U+100001,2118
140,􀀁􀀮􀀮􀀥,U+100001 U+10002E U+10002E U+100025,􀀁􀀮􀀥,U+100001 U+10002E U+100025,􀀁,U+100001,2190
141,􀀁􀀮􀀮􀀮,U+100001 U+10002E U+10002E U+10002E,􀀁􀀮,U+100001 U+10002E,􀀁,U+100001,2180
142,􀀁􀀮􀀮􀁀,U+100001 U+10002E U+10002E U+100040,􀀁􀀮􀁀,U+100001 U+10002E U+100040,􀀁,U+100001,2120
143,􀀁􀀯􀀯􀀠,U+100001 U+10002F U+10002F U+100020,􀀁􀀯􀀠,U+100001 U+10002F U+100020,􀀁,U+100001,2098
144,􀀁􀀯􀀯􀀻,U+100001 U+10002F U+10002F U+10003B,􀀁􀀯􀀻,U+100001 U+10002F U+10003B,􀀁,U+100001,2106
145,􀀁􀀯􀀰􀀢,U+100001 U+10002F U+100030 U+100022,􀀁􀀯􀀰􀀢,U+100001 U+10002F U+100030 U+100022,􀀁,U+100001,2104
146,􀀁􀀯􀀰􀀽,U+100001 U+10002F U+100030 U+10003D,􀀁􀀯􀀰􀀽,U+100001 U+10002F U+100030 U+10003D,􀀁,U+100001,2112
147,􀀁􀀰􀀰􀀼,U+100001 U+100030 U+100030 U+10003C,􀀁􀀰􀀼,U+100001 U+100030 U+10003C,􀀁,U+100001,2114
148,􀀁􀀱􀀰􀀠,U+100001 U+100031 U+100030 U+100020,􀀁􀀱􀀰􀀠,U+100001 U+100031 U+100030 U+100020,􀀁,U+100001,2100
149,􀀁􀀱􀀰􀀻,U+100001 U+100031 U+100030 U+10003B,􀀁􀀱􀀰􀀻,U+100001 U+100031 U+100030 U+10003B,􀀁,U+100001,2108
150,􀀁􀀱􀀱􀀢,U+100001 U+100031 U+100031 U+100022,􀀁􀀱􀀢,U+100001 U+100031 U+100022,􀀁,U+100001,2102
151,􀀁􀀱􀀱􀀽,U+100001 U+100031 U+100031 U+10003D,􀀁􀀱􀀽,U+100001 U+100031 U+10003D,􀀁,U+100001,2110
152,􀀂􀀠􀀪􀀥,U+100002 U+100020 U+10002A U+100025,􀀂􀀠􀀪􀀥,U+100002 U+100020 U+10002A U+100025,􀀂,U+100002,764
153,􀀂􀀣􀀣􀀣,U+100002 U+100023 U+100023 U+100023,􀀂􀀣,U+100002 U+100023,􀀂,U+100002,774
154,􀀂􀀣􀀤􀀥,U+100002 U+100023 U+100024 U+100025,􀀂􀀣􀀤􀀥,U+100002 U+100023 U+100024 U+100025,􀀂,U+100002,780
155,􀀂􀀤􀀤􀀤,U+100002 U+100024 U+100024 U+100024,􀀂􀀤,U+100002 U+100024,􀀂,U+100002,782
156,􀀂􀀥􀀤􀀣,U+100002 U+100025 U+100024 U+100023,􀀂􀀥􀀤􀀣,U+100002 U+100025 U+100024 U+100023,􀀂,U+100002,776
157,􀀂􀀥􀀥􀀥,U+100002 U+100025 U+100025 U+100025,􀀂􀀥,U+100002 U+100025,􀀂,U+100002,778
158,􀀂􀀩􀀩􀀩,U+100002 U+100029 U+100029 U+100029,􀀂􀀩,U+100002 U+100029,􀀂,U+100002,704
159,􀀂􀀩􀀩􀀻,U+100002 U+100029 U+100029 U+10003B,􀀂􀀩􀀻,U+100002 U+100029 U+10003B,􀀂,U+100002,714
160,􀀂􀀩􀀩􀀾,U+100002 U+100029 U+100029 U+10003E,􀀂􀀩􀀾,U+100002 U+100029 U+10003E,􀀂,U+100002,724
161,􀀂􀀩􀀪􀀫,U+100002 U+100029 U+10002A U+10002B,􀀂􀀩􀀪􀀫,U+100002 U+100029 U+10002A U+10002B,􀀂,U+100002,710
162,􀀂􀀩􀀪􀀽,U+100002 U+100029 U+10002A U+10003D,􀀂􀀩􀀪􀀽,U+100002 U+100029 U+10002A U+10003D,􀀂,U+100002,720
163,􀀂􀀩􀀪􀁀,U+100002 U+100029 U+10002A U+100040,􀀂􀀩􀀪􀁀,U+100002 U+100029 U+10002A U+100040,􀀂,U+100002,730
164,􀀂􀀪􀀪􀀪,U+100002 U+10002A U+10002A U+10002A,􀀂􀀪,U+100002 U+10002A,􀀂,U+100002,712
165,􀀂􀀪􀀪􀀼,U+100002 U+10002A U+10002A U+10003C,􀀂􀀪􀀼,U+100002 U+10002A U+10003C,􀀂,U+100002,722
166,􀀂􀀪􀀪􀀿,U+100002 U+10002A U+10002A U+10003F,􀀂􀀪􀀿,U+100002 U+10002A U+10003F,􀀂,U+100002,732
