声母,国际音标(IPA),发音部位,发音方法,备注
b,[p],双唇音,不送气清塞音,
p,[pʰ],双唇音,送气清塞音,
f,[f],唇齿音,清擦音,
m,[m],双唇音,鼻音,
d,[t],舌尖中音,不送气清塞音,
t,[tʰ],舌尖中音,送气清塞音,
l,[l],舌尖中音,边音,
n,[n],舌尖中音,鼻音,
g,[k],舌根音,不送气清塞音,
k,[kʰ],舌根音,送气清塞音,
h,[x],舌根音,清擦音,
ng,[ŋ],舌根音,鼻音,根据注音方案收录
z,[ʦ],舌尖前音,不送气清塞擦音,
c,[ʦʰ],舌尖前音,送气清塞擦音,
s,[s],舌尖前音,清擦音,
zh,[ʈʂ],舌尖后音,不送气清塞擦音,卷舌音
ch,[ʈʂʰ],舌尖后音,送气清塞擦音,卷舌音
sh,[ʂ],舌尖后音,清擦音,卷舌音
r,[ɻ],舌尖后音,浊擦音,卷舌音
j,[ʨ],舌面音,不送气清塞擦音,
q,[ʨʰ],舌面音,送气清塞擦音,
x,[ɕ],舌面音,清擦音,
',"[ŋ], [ʔ], [ɣ]","舌根音, 喉音","舌根鼻音, 喉塞音",零声母
