pinyin_tone,initial,final,tone_number,mapping_id,legacy_numeric_pinyin_id
ti5,t,i,5,2816,369
tian5,t,ian,5,2826,371
tie5,t,ie,5,2846,373
ting5,t,ing,5,2856,372
tong5,t,ong,5,2866,398
tun5,t,un,5,2912,399
tuo5,t,uo,5,2922,397
wang5,w,ang,5,2958,1720
wo5,w,o,5,2992,1732
xi5,x,i,5,3014,1566
xia5,x,ia,5,3024,1568
xiang5,x,iang,5,3044,1570
xie5,x,ie,5,3064,1572
xiong5,x,iong,5,3094,1614
xuan5,x,uan,5,3122,1612
xun5,x,un,5,3138,1615
yai2,y,ai,2,3186,1816
yan5,y,an,5,3196,1814
yao5,y,ao,5,3216,1812
yi5,y,i,5,3236,1751
ying5,y,ing,5,3256,1752
yong5,y,ong,5,3270,1762
yuan5,y,uan,5,3300,1783
yue5,y,ue,5,3310,1785
za5,z,a,5,3368,943
zai5,z,ai,5,3376,941
zao5,z,ao,5,3402,942
ze3,z,e,3,3406,962
zhan5,zh,an,5,3454,1145
zheng5,zh,eng,5,3500,1164
zhong5,zh,ong,5,3518,1119
zhou5,zh,ou,5,3528,1162
zhu5,zh,u,5,3538,1114
zhua5,zh,ua,5,3544,1115
zhuan5,zh,uan,5,3560,1116
zhuang2,zh,uang,2,3564,1124
zhuang5,zh,uang,5,3570,1117
zhui5,zh,ui,5,3578,1120
zong2,z,ong,2,3606,924
zou5,z,ou,5,3620,958
ê5,,ê,5,3672,1677
