pinyin_tone,mapping_id,yime_code
nve4,2022,􀀇􀀦􀀰􀀱
pa5,2060,􀀁􀀪􀀪􀀪
pai5,2070,􀀁􀀪􀀪􀀡
pan5,2080,􀀁􀀪􀀪􀀼
pen5,2114,􀀁􀀰􀀰􀀼
peng5,2124,􀀁􀀭􀀭􀀿
pi5,2134,􀀁􀀡􀀡􀀡
pia1,2136,􀀁􀀠􀀩􀀩
qiang5,2240,􀀓􀀡􀀪􀀿
qiao5,2250,􀀓􀀡􀀪􀀤
qie5,2260,􀀓􀀡􀀰􀀰
qin5,2270,􀀓􀀡􀀰􀀼
qiu5,2296,􀀓􀀡􀀭􀀤
qun5,2330,􀀓􀀧􀀰􀀼
ran5,2372,􀀑􀀪􀀪􀀼
rang5,2382,􀀑􀀪􀀪􀀿
re5,2396,􀀑􀀭􀀭􀀭
ren5,2404,􀀑􀀰􀀰􀀼
rou5,2430,􀀑􀀭􀀭􀀤
ru1,2432,􀀑􀀣􀀣􀀣
sang5,2494,􀀍􀀪􀀪􀀿
sao5,2502,􀀍􀀪􀀪􀀤
se5,2508,􀀍􀀭􀀭􀀭
shai5,2534,􀀐􀀪􀀪􀀡
shan5,2544,􀀐􀀪􀀪􀀼
shao5,2562,􀀐􀀪􀀪􀀤
she5,2572,􀀐􀀭􀀭􀀭
shen5,2584,􀀐􀀰􀀰􀀼
sheng5,2594,􀀐􀀭􀀭􀀿
shu5,2624,􀀐􀀤􀀤􀀤
shua5,2632,􀀐􀀤􀀪􀀪
shun5,2662,􀀐􀀤􀀰􀀼
shuo5,2670,􀀐􀀤􀀭􀀭
song5,2690,􀀍􀀤􀀭􀀿
sou5,2698,􀀍􀀭􀀭􀀤
su5,2708,􀀍􀀤􀀤􀀤
suan5,2716,􀀍􀀤􀀪􀀼
sui5,2726,􀀍􀀤􀀰􀀡
tan5,2772,􀀅􀀪􀀪􀀼
tang5,2782,􀀅􀀪􀀪􀀿
tao5,2792,􀀅􀀪􀀪􀀤
teng5,2806,􀀅􀀭􀀭􀀿
ti5,2816,􀀅􀀡􀀡􀀡
tian5,2826,􀀅􀀡􀀪􀀼
tie5,2846,􀀅􀀡􀀰􀀰
ting5,2856,􀀅􀀡􀀭􀀿
tong5,2866,􀀅􀀤􀀭􀀿
tun5,2912,􀀅􀀤􀀰􀀼
tuo5,2922,􀀅􀀤􀀭􀀭
wang5,2958,􀀖􀀪􀀪􀀿
wo5,2992,􀀖􀀭􀀭􀀭
xi5,3014,􀀔􀀡􀀡􀀡
xia5,3024,􀀔􀀡􀀪􀀪
xiang5,3044,􀀔􀀡􀀪􀀿
xie5,3064,􀀔􀀡􀀰􀀰
xiong5,3094,􀀔􀀧􀀭􀀿
xuan5,3122,􀀔􀀧􀀪􀀼
xun5,3138,􀀔􀀧􀀰􀀼
yai2,3186,􀀗􀀫􀀪􀀠
yan5,3196,􀀗􀀪􀀪􀀼
yao5,3216,􀀗􀀪􀀪􀀤
yi5,3236,􀀗􀀡􀀡􀀡
ying5,3256,􀀗􀀡􀀭􀀿
yong5,3270,􀀗􀀤􀀭􀀿
yuan5,3300,􀀗􀀧􀀪􀀼
yue5,3310,􀀗􀀧􀀰􀀰
za5,3368,􀀋􀀪􀀪􀀪
zai5,3376,􀀋􀀪􀀪􀀡
zao5,3402,􀀋􀀪􀀪􀀤
ze3,3406,􀀋􀀮􀀮􀀮
zhan5,3454,􀀎􀀪􀀪􀀼
zheng5,3500,􀀎􀀭􀀭􀀿
zhong5,3518,􀀎􀀤􀀭􀀿
zhou5,3528,􀀎􀀭􀀭􀀤
zhu5,3538,􀀎􀀤􀀤􀀤
zhua5,3544,􀀎􀀤􀀪􀀪
zhuan5,3560,􀀎􀀤􀀪􀀼
zhuang2,3564,􀀎􀀥􀀪􀀾
zhuang5,3570,􀀎􀀤􀀪􀀿
zhui5,3578,􀀎􀀤􀀰􀀡
zong2,3606,􀀋􀀥􀀭􀀾
zou5,3620,􀀋􀀭􀀭􀀤
ê5,3672,􀀕􀀰􀀰􀀰
